h,blad_przod,blad_centralna
1e-08,5.93461e-09,5.01819e-11
1.2045e-08,7.27248e-09,7.14903e-11
1.45083e-08,8.79673e-09,6.82792e-11
1.74753e-08,1.04108e-08,1.22452e-11
2.1049e-08,1.26998e-08,9.05532e-11
2.53536e-08,1.5155e-08,3.45018e-11
3.05386e-08,1.83598e-08,6.87901e-11
3.67838e-08,2.21129e-08,4.20104e-11
4.43062e-08,2.66159e-08,3.10277e-11
5.3367e-08,3.20399e-08,3.81584e-11
6.42807e-08,3.85802e-08,1.62829e-11
7.74264e-08,4.64411e-08,1.52593e-11
9.32603e-08,5.59236e-08,1.85595e-11
1.12332e-07,6.73946e-08,2.36036e-12
1.35305e-07,8.11801e-08,4.79275e-12
1.62975e-07,9.77653e-08,6.13153e-12
1.96304e-07,1.17762e-07,3.61271e-12
2.36449e-07,1.41847e-07,1.78564e-12
2.84804e-07,1.70862e-07,5.08783e-12
3.43047e-07,2.05804e-07,1.53276e-12
4.13201e-07,2.47885e-07,2.71159e-12
4.97702e-07,2.98583e-07,5.6595e-13
5.99484e-07,3.59645e-07,1.09469e-12
7.22081e-07,4.33197e-07,4.16282e-12
8.69749e-07,5.21783e-07,9.95301e-13
1.04762e-06,6.28489e-07,3.76976e-13
1.26186e-06,7.57018e-07,1.15642e-12
1.51991e-06,9.11833e-07,3.13233e-12
1.83074e-06,1.09831e-06,4.33963e-12
2.20513e-06,1.32291e-06,4.42557e-12
2.65609e-06,1.59346e-06,6.70451e-12
3.19927e-06,1.91932e-06,9.90504e-12
3.85353e-06,2.31184e-06,1.49995e-11
4.64159e-06,2.78462e-06,2.1657e-11
5.59081e-06,3.35409e-06,3.11061e-11
6.73415e-06,4.04002e-06,4.50671e-11
8.11131e-06,4.86623e-06,6.55335e-11
9.7701e-06,5.8614e-06,9.5284e-11
1.17681e-05,7.06011e-06,1.38321e-10
1.41747e-05,8.50396e-06,2.00662e-10
1.70735e-05,1.02431e-05,2.91234e-10
2.05651e-05,1.23379e-05,4.22556e-10
2.47708e-05,1.48612e-05,6.13035e-10
2.98365e-05,1.79005e-05,8.89476e-10
3.59381e-05,2.15614e-05,1.2904e-09
4.32876e-05,2.59711e-05,1.87212e-09
5.21401e-05,3.12828e-05,2.71613e-09
6.28029e-05,3.76809e-05,3.94069e-09
7.56463e-05,4.53877e-05,5.71726e-09
9.11163e-05,5.46711e-05,8.29472e-09
0.00010975,6.58535e-05,1.20342e-08
0.000132194,7.93238e-05,1.74596e-08
0.000159228,9.55501e-05,2.53309e-08
0.000191791,0.000115097,3.67508e-08
0.000231013,0.000138643,5.33192e-08
0.000278256,0.00016701,7.7357e-08
0.00033516,0.000201183,1.12232e-07
0.000403702,0.000242353,1.62829e-07
0.00048626,0.000291955,2.36237e-07
0.000585702,0.000351719,3.4274e-07
0.00070548,0.000423731,4.97256e-07
0.000849753,0.000510508,7.21434e-07
0.00102353,0.000615087,1.04668e-06
0.00123285,0.000741132,1.51855e-06
0.00148497,0.00089307,2.20315e-06
0.00178865,0.00107625,3.1964e-06
0.00215443,0.00129713,4.63743e-06
0.00259502,0.00156354,6.72812e-06
0.00312572,0.00188495,9.76134e-06
0.00376494,0.00227283,1.4162e-05
0.00453488,0.00274112,2.05467e-05
0.00546228,0.00330676,2.98097e-05
0.00657933,0.00399034,4.32488e-05
0.00792483,0.00481703,6.27465e-05
0.00954548,0.00581759,9.10344e-05
0.0114976,0.00702972,0.000132075
0.0138489,0.00849985,0.000191618
0.016681,0.0102853,0.000278004
0.0200923,0.0124571,0.000403335
0.0242013,0.015104,0.000585166
0.0291505,0.0183369,0.000848968
0.0351119,0.0222958,0.00123169
0.0422924,0.0271586,0.00178694
0.0509414,0.0331525,0.00259247
0.0613591,0.0405702,0.00376107
0.0739072,0.049792,0.00545634
0.0890215,0.0613162,0.0079155
0.107227,0.0758003,0.0114825
0.129155,0.09412,0.0166556
0.155568,0.117449,0.0241565
0.187382,0.147371,0.0350284
0.225702,0.186028,0.0507757
0.271859,0.236316,0.0735558
0.327455,0.302097,0.106427
0.394421,0.388318,0.153618
0.475081,0.500587,0.22062
0.572237,0.642655,0.313366
0.689261,0.806609,0.433875
0.830218,0.940212,0.564104
1,0.859673,0.618799
